date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:44:10	260/260	U-----	200	untouched ('OK')	text/plain	etag:%22f95796db69860293453b9a132337f2dd%22	https://www.fanduel.com/robots.txt		(from )
07:44:11	271008/271008	U--M--	200	updated ('OK')	text/html	etag:%22vhabe1jd965t3z%22	https://www.fanduel.com/	C:/My%20Web%20Sites/fanduel/www.fanduel.com/index.html	(from )
07:44:12	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:44:13%20GMT	https://www.fanduel.com/about	C:/My%20Web%20Sites/fanduel/www.fanduel.com/about	(from https://www.fanduel.com/)
07:44:13	46552/46552	U-----	200	untouched ('')	font/woff2	etag:W/%22b5d8-190fe2f7184%22	https://www.fanduel.com/_next/static/media/c9a5bc6a7c948fb0.p.woff2	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/c9a5bc6a7c948fb0.p.woff2	(from https://www.fanduel.com/)
07:44:14	90956/90956	U--MCZ	200	updated ('OK')	font/ttf	etag:W/%221634c-190f3e2c7d2%22	https://www.fanduel.com/_next/static/media/72ab225103e68818.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/72ab225103e68818.p.ttf	(from https://www.fanduel.com/)
07:44:14	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:44:15%20GMT	https://www.fanduel.com/casino-bonus-spins-PIA	C:/My%20Web%20Sites/fanduel/www.fanduel.com/casino-bonus-spins-PIA	(from https://www.fanduel.com/)
07:44:17	75848/75848	U--MCZ	200	updated ('OK')	font/ttf	etag:W/%2212848-19100c34a9b%22	https://www.fanduel.com/_next/static/media/cd11d27ee0ff0fd1.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/cd11d27ee0ff0fd1.p.ttf	(from https://www.fanduel.com/)
07:44:17	84740/84740	U--MCZ	200	updated ('OK')	font/ttf	etag:W/%2214b04-190fe2f7184%22	https://www.fanduel.com/_next/static/media/6f57dd2c9c7ec1f1.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/6f57dd2c9c7ec1f1.p.ttf	(from https://www.fanduel.com/)
07:44:18	1904/1904	U-----	200	untouched ('OK')	text/css	etag:W/%22770-190fe2f7184%22	https://www.fanduel.com/_next/static/css/59beca2da90b9347.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/css/59beca2da90b9347.css	(from https://www.fanduel.com/)
07:44:18	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:44:20%20GMT	https://www.fanduel.com/sports-betting-strategy	C:/My%20Web%20Sites/fanduel/www.fanduel.com/sports-betting-strategy	(from https://www.fanduel.com/)
07:44:51	91460/91460	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%2216544-190f3e2c7d2%22	https://www.fanduel.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.fanduel.com/)
07:45:14	75420/75420	U--MCZ	200	updated ('OK')	font/ttf	etag:W/%221269c-190fe2f7184%22	https://www.fanduel.com/_next/static/media/e3f05afcfec1f29c.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/e3f05afcfec1f29c.p.ttf	(from https://www.fanduel.com/)
07:45:15	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Tue,%2030%20Jul%202024%2006:45:16%20GMT	https://www.fanduel.com/casino/how-to-play-online-casino-games	C:/My%20Web%20Sites/fanduel/www.fanduel.com/casino/how-to-play-online-casino-games.1c.delayed	(from https://www.fanduel.com/)
07:45:48	141074/141074	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%2222712-19100c34a7d%22	https://www.fanduel.com/_next/static/chunks/framework-66afd76099b829ac.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/framework-66afd76099b829ac.js	(from https://www.fanduel.com/)
07:45:49	1033/1033	U--M--	504	error ('Gateway%20Time-out')	text/html	date:Tue,%2030%20Jul%202024%2006:45:45%20GMT	https://www.fanduel.com/_next/static/media/5ebc2b465dea38ca.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/5ebc2b465dea38ca.p.ttf	(from https://www.fanduel.com/)
