date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:43	260/260	---M--	200	added ('OK')	text/plain	etag:%22f95796db69860293453b9a132337f2dd%22	https://www.fanduel.com/robots.txt		(from )
19:23:44	271999/271999	---M--	200	added ('OK')	text/html	etag:%22ksqq1upm645tvi%22	https://www.fanduel.com/	C:/My%20Web%20Sites/fanduel/www.fanduel.com/index.html	(from )
19:23:45	46552/46552	---M--	200	added ('OK')	font/woff2	etag:W/%22b5d8-190fe2f7184%22	https://www.fanduel.com/_next/static/media/c9a5bc6a7c948fb0.p.woff2	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/c9a5bc6a7c948fb0.p.woff2	(from https://www.fanduel.com/)
19:23:46	90956/90956	---MCZ	200	added ('OK')	font/ttf	etag:W/%221634c-190fe2f7184%22	https://www.fanduel.com/_next/static/media/72ab225103e68818.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/72ab225103e68818.p.ttf	(from https://www.fanduel.com/)
19:23:47	75292/75292	---MCZ	200	added ('OK')	font/ttf	etag:W/%221261c-190fe2f7184%22	https://www.fanduel.com/_next/static/media/5ebc2b465dea38ca.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/5ebc2b465dea38ca.p.ttf	(from https://www.fanduel.com/)
19:23:47	75420/75420	---MCZ	200	added ('OK')	font/ttf	etag:W/%221269c-190fe35463d%22	https://www.fanduel.com/_next/static/media/e3f05afcfec1f29c.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/e3f05afcfec1f29c.p.ttf	(from https://www.fanduel.com/)
19:23:49	75848/75848	---MCZ	200	added ('OK')	font/ttf	etag:W/%2212848-190fe35463d%22	https://www.fanduel.com/_next/static/media/cd11d27ee0ff0fd1.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/cd11d27ee0ff0fd1.p.ttf	(from https://www.fanduel.com/)
19:23:49	84740/84740	---MCZ	200	added ('OK')	font/ttf	etag:W/%2214b04-190fe35463d%22	https://www.fanduel.com/_next/static/media/6f57dd2c9c7ec1f1.p.ttf	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/media/6f57dd2c9c7ec1f1.p.ttf	(from https://www.fanduel.com/)
19:23:50	159706/159706	---MCZ	200	added ('OK')	text/css	etag:W/%2226fda-190fe2f7184%22	https://www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/css/8ded6c38ca40d24d.css	(from https://www.fanduel.com/)
19:23:51	1904/1904	---M-Z	200	added ('OK')	text/css	etag:W/%22770-190fe2f7184%22	https://www.fanduel.com/_next/static/css/59beca2da90b9347.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/css/59beca2da90b9347.css	(from https://www.fanduel.com/)
19:23:52	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-190fe2f7166%22	https://www.fanduel.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.fanduel.com/)
19:23:53	2163/2163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22873-190fe2f7166%22	https://www.fanduel.com/_next/static/chunks/webpack-f4e9cce0f57db286.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/webpack-f4e9cce0f57db286.js	(from https://www.fanduel.com/)
19:23:54	141074/141074	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222712-190fe35460b%22	https://www.fanduel.com/_next/static/chunks/framework-66afd76099b829ac.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/framework-66afd76099b829ac.js	(from https://www.fanduel.com/)
19:23:55	87510/87510	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155d6-190fe2f7166%22	https://www.fanduel.com/_next/static/chunks/main-e39491f584d29e46.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/main-e39491f584d29e46.js	(from https://www.fanduel.com/)
19:23:55	233985/233985	---MCZ	200	added ('OK')	application/javascript	etag:W/%2239201-190f3e2c7d2%22	https://www.fanduel.com/_next/static/chunks/pages/_app-62239c7fb2994d92.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/chunks/pages/_app-62239c7fb2994d92.js	(from https://www.fanduel.com/)
